algoritmo,complejidad_c,procesos_workers,tiempo_segundos,speed_up,eficiencia,equipo_cores,estado,error,suma_final
secuencial,1000000,1,0.204124,1.000000,1.000000,22,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,1,0.197512,1.033476,1.033476,22,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,1,0.206578,0.988121,0.988121,22,ok,,499998.460826
multiprocessing.Pool,1000000,1,0.185514,1.100316,1.100316,22,ok,,499998.460826
threading,1000000,1,0.198378,1.028965,1.028965,22,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,2,0.249538,0.818008,0.409004,22,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,2,0.118626,1.720736,0.860368,22,ok,,499998.460826
multiprocessing.Pool,1000000,2,0.119088,1.714060,0.857030,22,ok,,499998.460826
threading,1000000,2,0.241440,0.845444,0.422722,22,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,4,0.252064,0.809810,0.202453,22,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,4,0.071966,2.836395,0.709099,22,ok,,499998.460826
multiprocessing.Pool,1000000,4,0.076067,2.683476,0.670869,22,ok,,499998.460826
threading,1000000,4,0.249851,0.816983,0.204246,22,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,8,0.244534,0.834747,0.104343,22,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,8,0.046610,4.379404,0.547425,22,ok,,499998.460826
multiprocessing.Pool,1000000,8,0.053078,3.845736,0.480717,22,ok,,499998.460826
threading,1000000,8,0.255507,0.798898,0.099862,22,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,16,0.243063,0.839799,0.052487,22,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,16,0.045292,4.506844,0.281678,22,ok,,499998.460826
multiprocessing.Pool,1000000,16,0.052623,3.878988,0.242437,22,ok,,499998.460826
threading,1000000,16,0.252631,0.807993,0.050500,22,ok,,499998.460826
